จังหวัด,อำเภอ,ตำบล,Login Code
กรุงเทพมหานคร,ภาษีเจริญ,เขตภาษีเจริญ,102200
กรุงเทพมหานคร,ภาษีเจริญ,บางหว้า,102201
กรุงเทพมหานคร,ภาษีเจริญ,บางด้วน,102202
กรุงเทพมหานคร,ภาษีเจริญ,บางจาก,102203
กรุงเทพมหานคร,ภาษีเจริญ,บางแวก,102204
กรุงเทพมหานคร,ภาษีเจริญ,คลองขวาง,102205
กรุงเทพมหานคร,ภาษีเจริญ,ปากคลองภาษีเจริญ,102206
กรุงเทพมหานคร,ภาษีเจริญ,คูหาสวรรค์,102207
กรุงเทพมหานคร,ภาษีเจริญ,คลองขวาง,102208
กรุงเทพมหานคร,ภาษีเจริญ,ปากคลองภาษีเจริญ,102209
กรุงเทพมหานคร,ภาษีเจริญ,คูหาสวรรค์,102210
กรุงเทพมหานคร,หนองแขม,เขตหนองแขม,102300
กรุงเทพมหานคร,หนองแขม,หนองแขม,102301
กรุงเทพมหานคร,หนองแขม,หนองค้างพลู,102302
กรุงเทพมหานคร,หนองแขม,หนองค้างพลู,102303
กรุงเทพมหานคร,ราษฎร์บูรณะ,เขตราษฎร์บูรณะ,102400
กรุงเทพมหานคร,ราษฎร์บูรณะ,ราษฎร์บูรณะ,102401
กรุงเทพมหานคร,ราษฎร์บูรณะ,บางปะกอก,102402
กรุงเทพมหานคร,บางพลัด,เขตบางพลัด,102500
กรุงเทพมหานคร,บางพลัด,บางพลัด,102501
กรุงเทพมหานคร,บางพลัด,บางอ้อ,102502
กรุงเทพมหานคร,บางพลัด,บางบำหรุ,102503
กรุงเทพมหานคร,บางพลัด,บางยี่ขัน,102504
กรุงเทพมหานคร,ดินแดง,เขตดินแดง,102600
กรุงเทพมหานคร,ดินแดง,ดินแดง,102601
กรุงเทพมหานคร,ดินแดง,รัชดาภิเษก,102602
กรุงเทพมหานคร,บึงกุ่ม,เขตบึงกุ่ม,102700
กรุงเทพมหานคร,บึงกุ่ม,คลองกุ่ม,102701
กรุงเทพมหานคร,บึงกุ่ม,นวมินทร์,102704
กรุงเทพมหานคร,บึงกุ่ม,นวลจันทร์,102705
กรุงเทพมหานคร,สาทร,เขตสาธร,102800
กรุงเทพมหานคร,สาทร,ทุ่งวัดดอน,102801
กรุงเทพมหานคร,สาทร,ยานนาวา,102802
กรุงเทพมหานคร,สาทร,ทุ่งมหาเมฆ,102803
กรุงเทพมหานคร,บางซื่อ,เขตบางซื่อ,102900
กรุงเทพมหานคร,บางซื่อ,บางซื่อ,102901
กรุงเทพมหานคร,บางซื่อ,วงศ์สว่าง,102902
กรุงเทพมหานคร,จตุจักร,เขตจตุจักร,103000
กรุงเทพมหานคร,จตุจักร,ลาดยาว,103001
กรุงเทพมหานคร,จตุจักร,เสนานิคม,103002
กรุงเทพมหานคร,จตุจักร,จันทรเกษม,103003
กรุงเทพมหานคร,จตุจักร,จอมพล,103004
กรุงเทพมหานคร,จตุจักร,จตุจักร,103005
กรุงเทพมหานคร,บางคอแหลม,เขตบางคอแหลม,103100
กรุงเทพมหานคร,บางคอแหลม,บางคอแหลม,103101
กรุงเทพมหานคร,บางคอแหลม,วัดพระยาไกร,103102
กรุงเทพมหานคร,บางคอแหลม,บางโคล่,103103
กรุงเทพมหานคร,ประเวศ,เขตประเวศ,103200
กรุงเทพมหานคร,ประเวศ,ประเวศ,103201
กรุงเทพมหานคร,ประเวศ,หนองบอน,103202
กรุงเทพมหานคร,ประเวศ,ดอกไม้,103203
กรุงเทพมหานคร,คลองเตย,เขตคลองเตย,103300
กรุงเทพมหานคร,คลองเตย,คลองเตย,103301
กรุงเทพมหานคร,คลองเตย,คลองตัน,103302
กรุงเทพมหานคร,คลองเตย,พระโขนง,103303
กรุงเทพมหานคร,สวนหลวง,เขตสวนหลวง,103400
กรุงเทพมหานคร,สวนหลวง,สวนหลวง,103401
กรุงเทพมหานคร,สวนหลวง,อ่อนนุช,103402
กรุงเทพมหานคร,สวนหลวง,พัฒนาการ,103403
กรุงเทพมหานคร,จอมทอง,เขตจอมทอง,103500
กรุงเทพมหานคร,จอมทอง,บางขุนเทียน,103501
กรุงเทพมหานคร,จอมทอง,บางค้อ,103502
กรุงเทพมหานคร,จอมทอง,บางมด,103503
กรุงเทพมหานคร,จอมทอง,จอมทอง,103504
กรุงเทพมหานคร,ดอนเมือง,เขตดอนเมือง,103600
กรุงเทพมหานคร,ดอนเมือง,สีกัน,103601
กรุงเทพมหานคร,ดอนเมือง,สีกัน,103602
กรุงเทพมหานคร,ดอนเมือง,ดอนเมือง,103604
กรุงเทพมหานคร,ดอนเมือง,สนามบิน,103605
กรุงเทพมหานคร,ราชเทวี,เขตราชเทวี,103700
กรุงเทพมหานคร,ราชเทวี,ทุ่งพญาไท,103701
กรุงเทพมหานคร,ราชเทวี,ถนนพญาไท,103702
กรุงเทพมหานคร,ราชเทวี,ถนนเพชรบุรี,103703
กรุงเทพมหานคร,ราชเทวี,มักกะสัน,103704
กรุงเทพมหานคร,ลาดพร้าว,เขตลาดพร้าว,103800
กรุงเทพมหานคร,ลาดพร้าว,ลาดพร้าว,103801
กรุงเทพมหานคร,ลาดพร้าว,จรเข้บัว,103802
กรุงเทพมหานคร,วัฒนา,เขตวัฒนา,103900
กรุงเทพมหานคร,วัฒนา,คลองเตยเหนือ,103901
กรุงเทพมหานคร,วัฒนา,คลองตันเหนือ,103902
กรุงเทพมหานคร,วัฒนา,พระโขนงเหนือ,103903
กรุงเทพมหานคร,บางแค,เขตบางแค,104000
กรุงเทพมหานคร,บางแค,บางแค,104001
กรุงเทพมหานคร,บางแค,บางแคเหนือ,104002
กรุงเทพมหานคร,บางแค,บางไผ่,104003
กรุงเทพมหานคร,บางแค,หลักสอง,104004
กรุงเทพมหานคร,หลักสี่,เขตหลักสี่,104100
กรุงเทพมหานคร,หลักสี่,ทุ่งสองห้อง,104101
กรุงเทพมหานคร,หลักสี่,ตลาดบางเขน,104102
กรุงเทพมหานคร,สายไหม,เขตสายไหม,104200
กรุงเทพมหานคร,สายไหม,สายไหม,104201
กรุงเทพมหานคร,สายไหม,ออเงิน,104202
กรุงเทพมหานคร,สายไหม,คลองถนน,104203
กรุงเทพมหานคร,คันนายาว,เขตคันนายาว,104300
กรุงเทพมหานคร,คันนายาว,คันนายาว,104301
กรุงเทพมหานคร,คันนายาว,รามอินทรา,104302
กรุงเทพมหานคร,สะพานสูง,เขตสะพานสูง,104400
กรุงเทพมหานคร,สะพานสูง,สะพานสูง,104401
กรุงเทพมหานคร,สะพานสูง,ราษฎร์พัฒนา,104402
กรุงเทพมหานคร,สะพานสูง,ทับช้าง,104403
กรุงเทพมหานคร,วังทองหลาง,เขตวังทองหลาง,104500
กรุงเทพมหานคร,วังทองหลาง,วังทองหลาง,104501
กรุงเทพมหานคร,วังทองหลาง,สะพานสอง,104502
กรุงเทพมหานคร,วังทองหลาง,คลองเจ้าคุณสิงห์,104503
กรุงเทพมหานคร,วังทองหลาง,พลับพลา,104504
กรุงเทพมหานคร,คลองสามวา,เขตคลองสามวา,104600
กรุงเทพมหานคร,คลองสามวา,สามวาตะวันตก,104601
กรุงเทพมหานคร,คลองสามวา,สามวาตะวันออก,104602
กรุงเทพมหานคร,คลองสามวา,บางชัน,104603
กรุงเทพมหานคร,คลองสามวา,ทรายกองดิน,104604
กรุงเทพมหานคร,คลองสามวา,ทรายกองดินใต้,104605
กรุงเทพมหานคร,บางนา,เขตบางนา,104700
กรุงเทพมหานคร,บางนา,บางนา,104701
กรุงเทพมหานคร,บางนา,บางนาเหนือ,104702
กรุงเทพมหานคร,บางนา,บางนาใต้,104703
กรุงเทพมหานคร,ทวีวัฒนา,เขตทวีวัฒนา,104800
กรุงเทพมหานคร,ทวีวัฒนา,ทวีวัฒนา,104801
กรุงเทพมหานคร,ทวีวัฒนา,ศาลาธรรมสพน์,104802
กรุงเทพมหานคร,ทุ่งครุ,เขตทุ่งครุ,104900
กรุงเทพมหานคร,ทุ่งครุ,บางมด,104901
กรุงเทพมหานคร,ทุ่งครุ,ทุ่งครุ,104902
กรุงเทพมหานคร,บางบอน,เขตบางบอน,105000
กรุงเทพมหานคร,บางบอน,บางบอน,105001
กรุงเทพมหานคร,บางบอน,บางบอนเหนือ,105002
กรุงเทพมหานคร,บางบอน,บางบอนใต้,105003
กรุงเทพมหานคร,บางบอน,คลองบางพราน,105004
กรุงเทพมหานคร,บางบอน,คลองบางบอน,105005
กรุงเทพมหานคร,บ้านทะวาย,บ้านทะวาย,108100
สมุทรปราการ,เมืองสมุทรปราการ,ปากน้ำ,110101
สมุทรปราการ,เมืองสมุทรปราการ,สำโรงเหนือ,110102
สมุทรปราการ,เมืองสมุทรปราการ,บางเมือง,110103
สมุทรปราการ,เมืองสมุทรปราการ,ท้ายบ้าน,110104
สมุทรปราการ,เมืองสมุทรปราการ,บางปูใหม่,110108
สมุทรปราการ,เมืองสมุทรปราการ,แพรกษา,110110
สมุทรปราการ,เมืองสมุทรปราการ,บางโปรง,110111
สมุทรปราการ,เมืองสมุทรปราการ,บางปู,110112
สมุทรปราการ,เมืองสมุทรปราการ,บางด้วน,110113
สมุทรปราการ,เมืองสมุทรปราการ,บางเมืองใหม่,110114
สมุทรปราการ,เมืองสมุทรปราการ,เทพารักษ์,110115
สมุทรปราการ,เมืองสมุทรปราการ,ท้ายบ้านใหม่,110116
สมุทรปราการ,เมืองสมุทรปราการ,แพรกษาใหม่,110117
สมุทรปราการ,บางบ่อ,บางบ่อ,110201
สมุทรปราการ,บางบ่อ,บ้านระกาศ,110202
สมุทรปราการ,บางบ่อ,บางพลีน้อย,110203
สมุทรปราการ,บางบ่อ,บางเพรียง,110204
สมุทรปราการ,บางบ่อ,คลองด่าน,110205
สมุทรปราการ,บางบ่อ,คลองสวน,110206
สมุทรปราการ,บางบ่อ,เปร็ง,110207
สมุทรปราการ,บางบ่อ,คลองนิยมยาตรา,110208
สมุทรปราการ,บางพลี,บางพลีใหญ่,110301
สมุทรปราการ,บางพลี,บางแก้ว,110302
สมุทรปราการ,บางพลี,บางปลา,110303
สมุทรปราการ,บางพลี,บางโฉลง,110304
สมุทรปราการ,บางพลี,ราชาเทวะ,110308
สมุทรปราการ,บางพลี,หนองปรือ,110309
สมุทรปราการ,พระประแดง,ตลาด,110401
สมุทรปราการ,พระประแดง,บางพึ่ง,110402
สมุทรปราการ,พระประแดง,บางจาก,110403
สมุทรปราการ,พระประแดง,บางครุ,110404
สมุทรปราการ,พระประแดง,บางหญ้าแพรก,110405
สมุทรปราการ,พระประแดง,บางหัวเสือ,110406
สมุทรปราการ,พระประแดง,สำโรงใต้,110407
สมุทรปราการ,พระประแดง,บางยอ,110408
สมุทรปราการ,พระประแดง,บางกะเจ้า,110409
สมุทรปราการ,พระประแดง,บางน้ำผึ้ง,110410
สมุทรปราการ,พระประแดง,บางกระสอบ,110411
สมุทรปราการ,พระประแดง,บางกอบัว,110412
สมุทรปราการ,พระประแดง,ทรงคนอง,110413
สมุทรปราการ,พระประแดง,สำโรง,110414
สมุทรปราการ,พระประแดง,สำโรงกลาง,110415
สมุทรปราการ,พระสมุทรเจดีย์,นาเกลือ,110501
สมุทรปราการ,พระสมุทรเจดีย์,บ้านคลองสวน,110502
สมุทรปราการ,พระสมุทรเจดีย์,แหลมฟ้าผ่า,110503
สมุทรปราการ,พระสมุทรเจดีย์,ปากคลองบางปลากด,110504
สมุทรปราการ,พระสมุทรเจดีย์,ในคลองบางปลากด,110505
สมุทรปราการ,บางเสาธง,บางเสาธง,110601
สมุทรปราการ,บางเสาธง,ศีรษะจรเข้น้อย,110602
สมุทรปราการ,บางเสาธง,ศีรษะจรเข้ใหญ่,110603
นนทบุรี,เมืองนนทบุรี,สวนใหญ่,120101
นนทบุรี,เมืองนนทบุรี,ตลาดขวัญ,120102
นนทบุรี,เมืองนนทบุรี,บางเขน,120103
นนทบุรี,เมืองนนทบุรี,บางกระสอ,120104
นนทบุรี,เมืองนนทบุรี,ท่าทราย,120105
นนทบุรี,เมืองนนทบุรี,บางไผ่,120106
นนทบุรี,เมืองนนทบุรี,บางศรีเมือง,120107
นนทบุรี,เมืองนนทบุรี,บางกร่าง,120108
นนทบุรี,เมืองนนทบุรี,ไทรม้า,120109
นนทบุรี,เมืองนนทบุรี,บางรักน้อย,120110
นนทบุรี,บางกรวย,วัดชลอ,120201
นนทบุรี,บางกรวย,บางกรวย,120202
นนทบุรี,บางกรวย,บางสีทอง,120203
นนทบุรี,บางกรวย,บางขนุน,120204
นนทบุรี,บางกรวย,บางขุนกอง,120205
นนทบุรี,บางกรวย,บางคูเวียง,120206
นนทบุรี,บางกรวย,มหาสวัสดิ์,120207
นนทบุรี,บางกรวย,ปลายบาง,120208
นนทบุรี,บางกรวย,ศาลากลาง,120209
นนทบุรี,บางใหญ่,บางม่วง,120301
นนทบุรี,บางใหญ่,บางแม่นาง,120302
นนทบุรี,บางใหญ่,บางเลน,120303
นนทบุรี,บางใหญ่,เสาธงหิน,120304
นนทบุรี,บางใหญ่,บางใหญ่,120305
นนทบุรี,บางใหญ่,บ้านใหม่,120306
นนทบุรี,บางบัวทอง,โสนลอย,120401
นนทบุรี,บางบัวทอง,บางบัวทอง,120402
นนทบุรี,บางบัวทอง,บางรักใหญ่,120403
นนทบุรี,บางบัวทอง,บางคูรัด,120404
นนทบุรี,บางบัวทอง,ละหาร,120405
นนทบุรี,บางบัวทอง,ลำโพ,120406
นนทบุรี,บางบัวทอง,พิมลราช,120407
นนทบุรี,บางบัวทอง,บางรักพัฒนา,120408
นนทบุรี,ไทรน้อย,ไทรน้อย,120501
นนทบุรี,ไทรน้อย,ราษฎร์นิยม,120502
นนทบุรี,ไทรน้อย,หนองเพรางาย,120503
นนทบุรี,ไทรน้อย,ไทรใหญ่,120504
นนทบุรี,ไทรน้อย,ขุนศรี,120505
นนทบุรี,ไทรน้อย,คลองขวาง,120506
นนทบุรี,ไทรน้อย,ทวีวัฒนา,120507
นนทบุรี,ปากเกร็ด,ปากเกร็ด,120601
นนทบุรี,ปากเกร็ด,บางตลาด,120602
นนทบุรี,ปากเกร็ด,บ้านใหม่,120603
นนทบุรี,ปากเกร็ด,บางพูด,120604
นนทบุรี,ปากเกร็ด,บางตะไนย์,120605
นนทบุรี,ปากเกร็ด,คลองพระอุดม,120606
นนทบุรี,ปากเกร็ด,ท่าอิฐ,120607
นนทบุรี,ปากเกร็ด,เกาะเกร็ด,120608
นนทบุรี,ปากเกร็ด,อ้อมเกร็ด,120609
นนทบุรี,ปากเกร็ด,คลองข่อย,120610
นนทบุรี,ปากเกร็ด,บางพลับ,120611
นนทบุรี,ปากเกร็ด,คลองเกลือ,120612
ปทุมธานี,เมืองปทุมธานี,บางปรอก,130101
ปทุมธานี,เมืองปทุมธานี,บ้านใหม่,130102
ปทุมธานี,เมืองปทุมธานี,บ้านกลาง,130103
ปทุมธานี,เมืองปทุมธานี,บ้านฉาง,130104
ปทุมธานี,เมืองปทุมธานี,บ้านกระแชง,130105
ปทุมธานี,เมืองปทุมธานี,บางขะแยง,130106
ปทุมธานี,เมืองปทุมธานี,บางคูวัด,130107
ปทุมธานี,เมืองปทุมธานี,บางหลวง,130108
ปทุมธานี,เมืองปทุมธานี,บางเดื่อ,130109
ปทุมธานี,เมืองปทุมธานี,บางพูด,130110
ปทุมธานี,เมืองปทุมธานี,บางพูน,130111
ปทุมธานี,เมืองปทุมธานี,บางกะดี,130112
ปทุมธานี,เมืองปทุมธานี,สวนพริกไทย,130113
ปทุมธานี,เมืองปทุมธานี,หลักหก,130114
ปทุมธานี,คลองหลวง,คลองหนึ่ง,130201
ปทุมธานี,คลองหลวง,คลองสอง,130202
ปทุมธานี,คลองหลวง,คลองสาม,130203
ปทุมธานี,คลองหลวง,คลองสี่,130204
ปทุมธานี,คลองหลวง,คลองห้า,130205
ปทุมธานี,คลองหลวง,คลองหก,130206
ปทุมธานี,คลองหลวง,คลองเจ็ด,130207
ปทุมธานี,ธัญบุรี,ประชาธิปัตย์,130301
ปทุมธานี,ธัญบุรี,บึงยี่โถ,130302
ปทุมธานี,ธัญบุรี,รังสิต,130303
ปทุมธานี,ธัญบุรี,ลำผักกูด,130304
ปทุมธานี,ธัญบุรี,บึงสนั่น,130305
ปทุมธานี,ธัญบุรี,บึงน้ำรักษ์,130306
ปทุมธานี,หนองเสือ,บึงบา,130401
ปทุมธานี,หนองเสือ,บึงบอน,130402
ปทุมธานี,หนองเสือ,บึงกาสาม,130403
ปทุมธานี,หนองเสือ,บึงชำอ้อ,130404
ปทุมธานี,หนองเสือ,หนองสามวัง,130405
ปทุมธานี,หนองเสือ,ศาลาครุ,130406
ปทุมธานี,หนองเสือ,นพรัตน์,130407
ปทุมธานี,ลาดหลุมแก้ว,ระแหง,130501
ปทุมธานี,ลาดหลุมแก้ว,ลาดหลุมแก้ว,130502
ปทุมธานี,ลาดหลุมแก้ว,คูบางหลวง,130503
ปทุมธานี,ลาดหลุมแก้ว,คูขวาง,130504
ปทุมธานี,ลาดหลุมแก้ว,คลองพระอุดม,130505
ปทุมธานี,ลาดหลุมแก้ว,บ่อเงิน,130506
ปทุมธานี,ลาดหลุมแก้ว,หน้าไม้,130507
ปทุมธานี,ลำลูกกา,คูคต,130601
ปทุมธานี,ลำลูกกา,ลาดสวาย,130602
ปทุมธานี,ลำลูกกา,บึงคำพร้อย,130603
ปทุมธานี,ลำลูกกา,ลำลูกกา,130604
ปทุมธานี,ลำลูกกา,บึงทองหลาง,130605
ปทุมธานี,ลำลูกกา,ลำไทร,130606
ปทุมธานี,ลำลูกกา,บึงคอไห,130607
ปทุมธานี,ลำลูกกา,พืชอุดม,130608
ปทุมธานี,สามโคก,บางเตย,130701
ปทุมธานี,สามโคก,คลองควาย,130702
ปทุมธานี,สามโคก,สามโคก,130703
ปทุมธานี,สามโคก,กระแชง,130704
ปทุมธานี,สามโคก,บางโพธิ์เหนือ,130705
ปทุมธานี,สามโคก,เชียงรากใหญ่,130706
ปทุมธานี,สามโคก,บ้านปทุม,130707
ปทุมธานี,สามโคก,บ้านงิ้ว,130708
ปทุมธานี,สามโคก,เชียงรากน้อย,130709
ปทุมธานี,สามโคก,บางกระบือ,130710
ปทุมธานี,สามโคก,ท้ายเกาะ,130711
พระนครศรีอยุธยา,พระนครศรีอยุธยา,ประตูชัย,140101
พระนครศรีอยุธยา,พระนครศรีอยุธยา,กะมัง,140102
พระนครศรีอยุธยา,พระนครศรีอยุธยา,หอรัตนไชย,140103
พระนครศรีอยุธยา,พระนครศรีอยุธยา,หัวรอ,140104
พระนครศรีอยุธยา,พระนครศรีอยุธยา,ท่าวาสุกรี,140105
พระนครศรีอยุธยา,พระนครศรีอยุธยา,ไผ่ลิง,140106
พระนครศรีอยุธยา,พระนครศรีอยุธยา,ปากกราน,140107
พระนครศรีอยุธยา,พระนครศรีอยุธยา,ภูเขาทอง,140108
พระนครศรีอยุธยา,พระนครศรีอยุธยา,สำเภาล่ม,140109
พระนครศรีอยุธยา,พระนครศรีอยุธยา,สวนพริก,140110
พระนครศรีอยุธยา,พระนครศรีอยุธยา,คลองตะเคียน,140111
พระนครศรีอยุธยา,พระนครศรีอยุธยา,วัดตูม,140112
